company,industry,country,total_laid_off,funds_raised
Zulily,Retail,"United States",839.0,194
Zulily,Retail,"United States",839.0,194
Zulily,Retail,"United States",839.0,194
Dealtale,Sales,Israel,70.0,2
Dealtale,Sales,Israel,70.0,2
Dealtale,Sales,Israel,70.0,2
Smashing,Consumer,"United States",7.0,3
Smashing,Consumer,"United States",7.0,3
Smashing,Consumer,"United States",7.0,3
Pandion,Logistics,"United States",63.0,76
Pandion,Logistics,"United States",63.0,76
Pandion,Logistics,"United States",63.0,76
ON,Retail,"United States",60.0,81
ON,Retail,"United States",60.0,81
ON,Retail,"United States",60.0,81
Eaze,Consumer,"United States",500.0,202
Eaze,Consumer,"United States",500.0,202
Convoy,Logistics,"United States",500.0,1100
Eaze,Consumer,"United States",500.0,202
Convoy,Logistics,"United States",500.0,1100
Convoy,Logistics,"United States",500.0,1100
DeepVerge,Healthcare,Ireland,50.0,20
DeepVerge,Healthcare,Ireland,50.0,20
DeepVerge,Healthcare,Ireland,50.0,20
Bench,Finance,Canada,450.0,109
Bench,Finance,Canada,450.0,109
Bench,Finance,Canada,450.0,109
BharatAgri,Food,India,37.0,21
BharatAgri,Food,India,37.0,21
BharatAgri,Food,India,37.0,21
"Humble Games",Media,"United States",36.0,4
"Humble Games",Media,"United States",36.0,4
"Humble Games",Media,"United States",36.0,4
"Skybox Security",Security,"United States",300.0,335
"Skybox Security",Security,"United States",300.0,335
Otipy,Food,India,300.0,44
Otipy,Food,India,300.0,44
Otipy,Food,India,300.0,44
"Skybox Security",Security,"United States",300.0,335
"Moxion Power",Energy,"United States",248.0,124
"Moxion Power",Energy,"United States",248.0,124
"Moxion Power",Energy,"United States",248.0,124
Forward,Healthcare,"United States",200.0,325
Forward,Healthcare,"United States",200.0,325
Frontdesk,Travel,"United States",200.0,26
Frontdesk,Travel,"United States",200.0,26
Frontdesk,Travel,"United States",200.0,26
Forward,Healthcare,"United States",200.0,325
Retrain.ai,HR,Israel,20.0,34
Retrain.ai,HR,Israel,20.0,34
Retrain.ai,HR,Israel,20.0,34
"Cue Health",Healthcare,"United States",180.0,899
"Cue Health",Healthcare,"United States",180.0,899
"Cue Health",Healthcare,"United States",180.0,899
Drizly,Retail,"United States",168.0,119
Drizly,Retail,"United States",168.0,119
Drizly,Retail,"United States",168.0,119
ZestMoney,Finance,India,150.0,120
ZestMoney,Finance,India,150.0,120
BeepKart,Retail,India,150.0,19
BeepKart,Retail,India,150.0,19
BeepKart,Retail,India,150.0,19
ZestMoney,Finance,India,150.0,120
Care/of,Healthcare,"United States",143.0,83
Care/of,Healthcare,"United States",143.0,83
Care/of,Healthcare,"United States",143.0,83
MyBambu,Finance,"United States",141.0,15
MyBambu,Finance,"United States",141.0,15
MyBambu,Finance,"United States",141.0,15
"Tome Biosciences",Healthcare,"United States",131.0,213
"Tome Biosciences",Healthcare,"United States",131.0,213
"Tome Biosciences",Healthcare,"United States",131.0,213
Lilium,Aerospace,Germany,1000.0,1400
Redbox,Media,"United States",1000.0,51
Lilium,Aerospace,Germany,1000.0,1400
Lilium,Aerospace,Germany,1000.0,1400
Redbox,Media,"United States",1000.0,51
Redbox,Media,"United States",1000.0,51
"Ghost Autonomy",Transportation,"United States",100.0,247
"Ghost Autonomy",Transportation,"United States",100.0,247
"Phantom Auto",Transportation,"United States",100.0,86
"Ghost Autonomy",Transportation,"United States",100.0,247
"Phantom Auto",Transportation,"United States",100.0,86
"Phantom Auto",Transportation,"United States",100.0,86
Noogata,AI,Israel,10.0,28
Noogata,AI,Israel,10.0,28
Noogata,AI,Israel,10.0,28
"Advisor Credit Exchange",Finance,"United States",,31
Karhoo,Transportation,"United Kingdom",,39
Muvin,Finance,India,,4
Nori,Energy,"United States",,19
Nowadays,Food,"United States",,10
Okra,Finance,Nigeria,,12
Olive,Healthcare,"United States",,856
"Motif Foodworks",Food,"United States",,343
OSlash,Other,India,,7
"Mobius Motors",Transportation,Kenya,,6
Mixtroz,Other,"United States",,2
Pebble,Consumer,"United States",,1
"Marin Software",Marketing,"United States",,99
Pivo,Finance,Nigeria,,3
"Ranger Insurance",Finance,"United States",,5
Recast,Media,"United Kingdom",,14
Mainvest,Finance,"United States",,3
ReshaMandi,Food,India,,54
"Made Renovation",Construction,"United States",,9
Rezi,"Real Estate","United States",,230
"Running Tide",Energy,"United States",,54
Sampler,Retail,Canada,,10
"SCiFi Foods",Food,"United States",,39
Sendy,Logistics,Kenya,,26
Shift,Transportation,"United States",,504
Silofit,Fitness,Canada,,19
"Log 9 Materials",Manufacturing,India,,32
Slync,Logistics,"United States",,76
"Small Robot Company",Food,"United Kingdom",,10
Level,Finance,"United States",,27
SmileDirectClub,Healthcare,"United States",,694
Sonder,Travel,"United States",,839
Sproutt,Finance,"United States",,38
Stackpath,Infrastructure,"United States",,396
Sunfolding,Energy,"United States",,32
Tally,Finance,"United States",,172
"The Gist",Other,Israel,,7
theGist,Other,Israel,,7
Thepeer,Finance,Nigeria,,2
Kyte,Transportation,"United States",,548
Toplyne,Sales,India,,17
Twig,Finance,"United Kingdom",,41
Veev,Construction,"United States",,597
