company,total_laid_off,funds_raised
23andMe,813,1100
2U,0,426
7shifts,294,131
98point6,0,299
ABBYY,600,6
ABL,0,479
Absci,90,238
Acronis,0,658
ActiveFence,66,100
Actyv.ai,0,12
Adda247,900,61
Adjust,912,256
"Advisor Credit Exchange",0,31
Affirm,180,1500
AgentSync,201,111
"Agility Robotics",0,179
"AI Fleet",0,56
Airmeet,0,50
Airtable,711,1400
Airtime,75,33
Akamai,750,35
"Akili Interactive",0,271
"Akili Labs",0,301
Akseleran,180,9
Akudo,0,4
"Aleph Farms",90,119
Alerzo,300,16
Alma,0,220
AlphaSense,450,1400
Altruist,261,449
Alza,0,7
Amazon,44622,8100
Amicole,0,5
Amperity,60,187
Anar,0,6
Ancestry,243,33
Andgo,27,5
"ANS Commerce",0,2
AppFolio,447,30
AppHarvest,0,692
Apple,2142,1200
"Applied Material",4200,2100
AppLovin,1470,1600
ApplyBoard,0,483
AppsFlyer,300,293
Aptiv,750,8
"Aqua Security",210,325
Archipelago,120,57
Arive,0,37
Arrival,0,629
Asana,300,453
Astra,0,300
"Astrate Medical",0,13
At-Bay,81,296
Atera,60,102
Athennian,90,47
Atlas,450,220
Atlassian,1050,210
Atmosphere,300,214
Audible,300,14
AudioCodes,240,91
Augury,390,274
Aurora,0,3700
"Aurora Labs",135,97
"Aurora Solar",507,523
Automattic,843,986
"Ava Labs",0,640
Avaya,540,700
Aware,0,88
Away,0,181
"Axios Media",150,57
Axonius,300,865
Ayoconnect,0,43
"Babylon Health",282,1200
Bakkt,84,932
Bardee,90,5
Bark,0,282
"Beam Benefits",222,168
Beamery,0,223
BeepKart,840,19
"Believer Meats",0,389
Bench,1350,109
BenchSci,459,164
Better.com,0,905
BetterUp,300,567
"Beyond Meat",195,122
BharatAgri,111,21
"Big Cabal Media",0,3
BigCommerce,0,224
Bill.com,0,280
BillGO,240,119
Biofourmis,360,464
Bird,0,916
Bizongo,150,315
BlackLine,285,220
Blend,450,665
"Blink Charging",0,110
BlissClub,63,20
Block,5793,150
"Blue Apron",0,422
"Blue Origin",3120,167
Blueboard,0,16
Bluelearn,0,4
Bluevine,300,769
"Bobble AI",150,59
Bolt,0,1300
Bolt.Earth,210,24
"Booking Holdings",180,2800
Boozt,0,56
"Bowery Farming",0,626
Branch,255,229
Branch.io,300,667
Brave,81,42
"Brave Care",0,43
Brex,846,1500
Brightcove,594,145
Brilliant,0,64
Builder.ai,0,445
"Built Technologies",0,313
Bukalapak,0,925
Bullhorn,420,32
Bumble,1770,313
"Bundle Africa",0,1
Bungie,660,100
"Business Insider",0,56
"Butterfly Network copy",0,530
Buzzer,0,24
BuzzFeed,0,696
Byju's,1500,5500
Bytedance,5850,9400
C2FO,288,537
C3.ai,0,228
Cabify,87,601
"Cake Bikes",0,74
Calendly,390,351
Caliva,162,75
Cambricon,0,200
Cameo,240,165
Canoo,60,300
Canva,30,2500
Captiv8,24,4
"Carbon Health",510,522
Care/of,429,83
Carousell,228,375
Cars24,1560,1300
Carta,0,1100
Cellebrite,60,410
Cellulant,0,54
Center,24,102
Certinia,0,194
Chainalysis,450,536
Character.ai,18,150
Chargebee,300,468
ChargePoint,750,1400
Checkout.com,240,1800
Checkr,1146,679
Chegg,4188,227
Chewy,600,451
"Chia Network",78,70
Chief,0,140
Chingari,0,88
"Chipper Cash",105,302
ChowNow,180,64
Chrono24,330,205
Cint,0,17
Circle,150,1100
CircleCI,300,315
Circles.Life,0,50
Cisco,31263,2
Citrix,3000,20
CityMall,270,112
Clear,435,140
Clearcover,0,304
Climeworks,318,734
Clockwork,0,4
Cloudflare,120,332
CloudKitchens,0,1300
Code42,0,137
CodeSee,0,10
Cohere,60,935
"Coho AI",0,8
CoinDCX,0,247
CoinSwitch,132,301
Commercetools,0,119
Commure,0,1900
ComplYant,0,6
ConnectedH,0,2
ConnectRN,0,160
ConnectWise,0,1
ConsenSys,630,726
Contentful,0,350
Convoy,1500,1100
Copia,4230,103
Cornershop,600,32
"Course Hero",0,477
Coursera,450,458
Cowbell,84,123
Criteo,420,61
CrowdStrike,1500,1200
Cruise,5700,15000
Crunchbase,0,106
Crunchyroll,0,26
"Cue Health",2247,899
Cuemath,300,121
Cult.fit,300,635
"Culture Amp",180,257
Curbio,0,76
Cure.fit,360,625
Cushion,0,20
Cybereason,0,750
CyberGRX,0,99
Cypress.io,33,54
D-ID,66,48
D2iQ,0,247
Dash,0,86
Dastgyr,0,41
Datagen,0,72
Dataminr,450,1100
Datree,0,11
Dayforce,0,40
DayTwo,0,90
DealShare,390,390
Dealtale,210,2
"Deep Instict",138,322
"Deep Instinct",60,322
Deepgram,60,86
DeepVerge,150,20
Deepwatch,330,256
Degreed,0,463
"Delivery Hero",600,9900
"Desktop Metal",0,811
Detectify,90,42
DICE,0,135
Digimarc,270,105
"Digital River",366,50
Discord,621,995
DispatchHealth,264,733
"Divvy Homes",282,180
Docker,0,436
DocuSign,1320,536
Domo,0,689
Doximity,300,82
Dozee,120,26
Drata,120,328
Drift,300,107
Drizly,504,119
Dropbox,1581,1700
"Duck Creek Technologies",0,357
Dukaan,0,17
Dunzo,900,458
DwellWell,0,6
dYdX,0,87
EasyKnock,0,440
"Eat Just",120,465
Eaze,1500,202
eBay,3720,1200
Edgio,240,462
"Eigen Labs",87,234
"Electriq Global",0,8
"Electronic Arts",2910,2
Embrace,0,77
Enovix,1065,516
"Enphase Energy",2550,116
"Epic Games",2610,6400
Epicery,0,7
Eroad,600,46
Etsy,675,97
Eurora,333,42
Eventbrite,300,557
EverC,48,61
Evernote,0,290
Everquote,300,53
Everybuddy,0,15
"Eviation Aircraft",0,140
Evolve,525,224
Exabeam,0,391
Exosonic,0,4
Expedia,4800,3300
EyeEm,0,24
ezCater,120,319
Ezoic,0,39
Fable,39,19
Fabric,90,336
Factorial,60,220
Faire,750,1700
FamPay,54,42
Farfetch,6000,1700
Fashinza,0,153
Fastly,0,219
Fi.Money,90,137
Figure,270,1500
Finder,180,30
FintechOS,0,91
Fireblocks,60,1000
"First Mode",144,9
Fisker,0,1700
Five9,939,862
Fiverr,750,111
FlexCar,60,297
Flexe,690,263
Flexport,0,2400
FlightStats,219,3
Flip,0,294
Flipkart,3420,12900
"Flock Freight",162,399
Flutterwave,90,509
Fly.io,120,110
Flyhomes,0,310
Flywire,375,263
FNZ,3000,1400
Foodpanda,0,749
ForeScout,120,125
ForgeRock,327,234
"Form Energy",0,966
Formlabs,0,254
Fortinet,0,89
Forto,600,593
Forward,600,325
FourKites,0,241
Foursquare,315,390
Freenome,300,1400
Freightos,150,118
FreightWaves,48,92
FreshBooks,420,331
FreshDirect,300,280
Freshworks,1980,484
Frontdesk,600,26
FrontRow,0,17
FullStory,150,197
"Funding Circle",0,746
"Games 24x7",1740,75
Gated,0,3
Gem,210,148
"General Fusion",0,370
GenWise,45,3
Getaround,0,948
Getir,17400,1800
"Ghost Autonomy",300,247
Gigamon,207,23
"Ginkgo Bioworks",1200,1600
Glovo,141,1200
Glowforge,90,133
Google,5091,26
Goop,117,75
GoPro,417,288
Gopuff,0,3400
GoStudent,300,686
GoTo,87,2
GoWild,0,8
Grabango,102,94
GrabCAD,39,28
Grammarly,690,400
Greenikk,0,1
Grin,0,145
"Gro Intelligence",330,118
"GroundGame Health",291,17
Grubhub,1500,284
Guild,900,643
GupShup,1800,484
Gupy,174,105
HackerOne,0,159
HackerRank,159,103
Halodoc,0,245
Handshake,300,434
"Head Digital Works",1500,74
Headspace,0,216
HealthifyMe,450,130
Healthy.io,120,185
HelloFresh,819,367
Here,0,5
HerMD,0,28
"Hewlett Packard Enterprise",7656,1400
HeyJobs,270,62
Highsnobiety,72,8
Hijra,0,67
Hike,165,261
"Hims & Hers",204,1200
"Hinge Health",0,826
"Hippo Insurance",360,1300
Hodinkee,72,40
Hologram,0,82
Homeday,120,71
Homie,0,35
